1,2
neutral,"맞아, 서로 윈윈인 거 같애.
"
happy,"그니까 전라도에 있어야겠다. l/
"
happy,"그리고 이 고속도로 잘 뚫려있으니까 왔다 갔다 할 수도 있고 좋은 거 같애.
"
neutral,"거리가 거리가 중요한 거 같애.
"
neutral,"u/ 우리가 인천이나 경기도로 가버리면 진짜 오기 힘들잖아.
"
neutral,"자주 못 보게 되는 여기서 좀 멀어지는 거 같애. 
"
neutral,"c/ 그니까 사투리에 가까운 이웃이 더 낫다는 말도 있잖아. 
"
neutral,"b/ 그 좀 b/ 내가 자식 생각하듯 또 나랑 닮은 사람이니까 챙겨야 되는데 근데 이걸 나중에 아는 거 같애.
"
neutral,"근데 보통 그때가 그때 아닐까? 
"
happy,"자식이 소용없네 느끼는 순간 좀 그러지 않을까? 
"
neutral,"그치 자식이 이제.
"
neutral,"나만 찾다가 이제 친구들 찾고 막 이렇게 되면. 
"
neutral,"응, 그때 중학생 때 이후부터 이제 부모랑 안 있으려고 그러잖아. 
"
neutral,"응 그때 이제 생각이 드는 거 같애.
"
happy,"응 나만 해도 순덕이가 막 나만 좋아하다가 사회생활하겠다고 계속 나간다고 그러면 좀 그러지 않겠어? l/
"
happy,"어 n/ 걔는 사회생활 좀 해야 되는데.
"
neutral,"어 걔 사회생활이 없어서 영원한 막내잖아.
"
neutral,"u/ 나는 어릴 때 아빠가 많이 엄했는데 그냥 아빠가 머리 감겨주는 건 기억나.
"
neutral,"커피향 나는 린스로.
"
neutral,"l/ 나 린스가 영양제인 줄 알았잖아 그래서. 
"
neutral,"나는 나는 많은데 목욕탕을 갔던 기억이 나는데 막 진짜 막 집에서는 엄마가 그 목욕 타월 있잖아. 
"
happy,"c/ 타월에다 해가지고 막 씻겨주는데 아빠랑 목욕탕에 가면은 타월 없어, 그냥 막 비누로 막 해.
"
happy,"아 이래도 되는구나 l/ 알았지. l/
"
neutral,"l/ 그러면 안되는 거야, 그러면 안되는 거야. 
"
neutral,"간 김에 빡빡 밀고 와야지. 
"
happy,"그때 n/ 신세계였어, 아빠랑 갔을 때.
"
neutral,"뭐 먼저 말할 거 있어? 
"
neutral,"b/ 응 나는 저 사람들 말하는 거를 보니까 옛날에는 나도 막 그랬거든? 
"
neutral,"c/ 너무 남자에 비해 여자의 그 좀 사회적 지위가 낮게 느껴져서 그런 상황들이 많으니까 불평등스럽다고 생각을 했는데. 
"
neutral,"응 좀 보다 보면 조금씩 바뀌고 있는 거 같거든.
"
neutral,"근데 이게 진짜 꽤 오랜 기간 동안 거의 일을 남자만 하는 그런 시기였는데 솔직히 점점점점 이렇게 진출해 나가는 느낌이어서 조금씩 나아지는 느낌이거든? 
"
neutral,"왜냐하면 이거를 한 번에 어떤 정책 같은 걸로 잡아버려야지 하면 그때만 되고 일회성으로 끝나잖아, 그니까 서서히 해가는 느낌이어서 지금이 100퍼센트 좋다는 아닌데 지금에서 한 100년 지나면은 비슷비슷해져 가겠지 하는 생각인데.
"
neutral,"당장의 모든 거를 반반씩으로 해버려야겠다 라는 의견이 있는 느낌이야.
"
neutral,"그치 나도 그 아까 이준석 남자가 얘기할 때 절반이 안돼서 문제인가요 그랬잖아. 
"
neutral,"나는 그거는 문제가 아니라고 보거든, 왜냐면 꼭 절반을 맞춰야 모든 게 평등하고 그런 건 아니잖아.
"
neutral,"능력도 다를 것이고 기회도 다른 건데.
"
neutral,"나도 거기에 대해서는 이렇게 말하기가 조심스러운데 더 잘하는 사람이 하면 되는 거라고 생각을 하거든? 
"
neutral,"그리고 지금 20대 애들만 해도 되게 성 평등 얘기를 많이 듣고 자라서 또 가정적인 아빠도 많이 보고 자라서 더 그 평등에 대해서 욕망이 강할 텐데.
"
neutral,"우리만 해도 교과서에서는 평등이라고는 하는데 집이나 그런 다른 데에서는 전혀 안 그랬다가 대학생 되고 나니까 갑자기 평등 평등하는 그런 걸 겪었잖아.
"
neutral,"맞아, 대학생 되면 사람들이 고결해지는 거 같아.
"
neutral,"응 그니까 그런 걸 보면은 우리보다 나이가 많으신 분들은 훨씬 막 30대 40대 때 평등이란 말을 듣고 해야지 이래야지 했을 거 아니야. 
"
neutral,"그러니까 나는 b/ 이미 너무 그 진전돼버린 거는 말고 이렇게 약간 서서히 바뀌면은 잘 되고 있는 느낌인데.
"
neutral,"응 맞아, 나도 아까 자기가 했던 첫 번째 점점 나아지고 있는 느낌이라고 했잖아. 
"
neutral,"우리나라 역사가 엄청 짧잖아, 솔직히.
"
neutral,"반세기 한 세기 전만 해도 조선시대였잖아. 
"
neutral,"조선시대를 생각하면은 100년도 안됐는데.
"
neutral,"b/ 조선시대뿐만 아니라 거의 그 전부터 육아나 가사 일이 여자일이잖아.
"
neutral,"그치, 다 여자 일이고 남자는 일 여자는 집안일 이거였는데.
"
neutral,"사실 조선시대보다 더 긴 역사 동안 그랬는데.
"
neutral,"응 항상 이러면서 그 통계자료를 들고 오는 게 OECD 평균이잖아. 
"
neutral,"거기에 우리나라를 맞추는 게 좀 그런 거 같애. 
"
neutral,"진짜로 그걸 들이밀고 싶으면 l/ 제일 처음에 역사부터 들이밀어야 되는 게 아닌가 생각도 들고. 
"
neutral,"약간 만일의 막 평등처럼 만들겠다고 한 정책들이 한 번하고 빠져버리고 여자대학교들 운영 부실 돼서 없어져 버리고 이러면 좀 b/ 그럴 텐데.
"
neutral,"그니까 이런 것들이 장기적으로 놓고 봐야 하는데 u/ 대통령이 한 번만 딱 5년 임기 맞추면 두 번 다시 재 재임이 안되잖아.
"
neutral,"그니까 일회성인 정책들이 너무 많은 거 같고 어 천천히 스며들게 해야 하는데 이 이것들이 안되는 거 같애. 
"
neutral,"응 그 우리 제일 못하는 거 아니야?
"
neutral,"l/ 천천히가 제일 어렵지.
"
neutral,"그니까 이렇게 급하게 너무 한 번에 우리가 저런 완전 평등스러운 다른 나라처럼 될 수 없는데.
"
neutral,"u/ 너무 급하게 유럽이나 그런 선진국이라고 하는 나라를 따라가는 거 같애.
"
neutral,"이미 여러 가지에서.
"
neutral,"너무 그렇게 되고 싶어 해. 
"
neutral,"어 왜 그러는지 모르겠고, 그냥 OECD라는 말에 뭔가 공신력이 있는 느낌이야.
"
neutral,"아니 그냥. l/
"
neutral,"응, 왜 OECD를 따라야 돼?
"
neutral,"그런 문제도 있지 않아? l/
"
neutral,"어 뭐 거기가 다 선진국이고 복지가 좋은 건 알겠는데 상황에 맞게 해야지. 
"
neutral,"나도 그 생각이야. b/
"
neutral,"오히려 토론을 보니까 그런 생각이 드네.
"
neutral,"응 북한이 핵쏘고 있는데 OECD에 어떻게 맞춰.
"
neutral,"l/ 그냥 거기가 약간 b/ 천국이고 우리는 천국을 따라가야 돼 이런 느낌이야, 거기가 무슨 절대적인 기준인 거 같애.
"
neutral,"그냥 우리는 시간이 더 필요한 거 같애. 
"
happy,"대 대포폰에서 아주 재밌었어. 
"
happy,"으응 b/ 나는 아니야.
"
happy,"c/ 나는 아내의 맛이 더 재밌어, l/ 어. 
"
neutral,"아주 아줌마가 자기 할 말하는게 재밌던데.
"
neutral,"으응 왜냐면 많이 본 분 같애.
"
neutral,"아내의 맛이 그건가, 그 함소원 나오는 그거? 
"
happy,"어어어어어 거의 그 시어머니가 재밌어.
"
happy,"어 n/ 맞어, 옛날 방금 무한도전 같은 거는 이제 옛날 코미디 같은 느낌으로 바꼈 바뀐 게 최근에 진짜 진짜 가정집이 나오고 약간 애기들 나오고 슈퍼맨이 돌아왔다 나오고.
"
neutral,"약간 좀 그 이런 대본이 없어 보이는 걸 더 좋아하는 거 같애.
"
neutral,"응 대본이 있지만, 없어 보이게. 
"
happy,"없어 보이게.
"
happy,"그니까 생얼 화장 같은 거지. l/
"
neutral,"어 요새는 사람들이 그런 거 좋아하고 막 생각해보면 슈퍼맨이 돌아왔다 나 혼자 산다.
"
neutral,"그런 거 보면은 다 연예인 집 나오고 u/ 취미생활 나오고 그러면서 웃긴 장면 하나씩 나오고 그런 거 같고 옛날에는 자막이랑 효과로 TV를 꾸몄던 거 같고 그른 그러네.
"
happy,"어우 나는 그 아내의 맛 거기 시어머니 너무 좋아.
"
neutral,"약간 그 중국 분이시고 그분 나이가 우리 엄마랑 똑같더라고. 
"
neutral,"그 중국 중국 시어머니? 
"
neutral,"근데 그게 대본이 있다고 해도 솔직히 한국말도 잘 모르시는데 그렇게 하기가 어렵잖아. 
"
neutral,"그건 좀 진짜 모습인 느낌이 들거든? 
"
neutral,"그 시부모님들은? 
"
neutral,"솔직히 그 함소원이랑 남편은 아닐 수도 있는데 그래서 b/ 응 그래서 더 재밌는 거 같기도 하고.
"
neutral,"진짜로 그런 거 같아서 재밌는 거 같고 그 슈퍼맨이 돌아왔다도 비슷한 걸로 비슷한 느낌으로 보면은 애기들은 TV란 개념이 없잖아.
"
neutral,"그래서 진짜 모습을 보여주잖아. 
"
neutral,"그니까 사람들이 많이 좋아하는 거 같애.
"
neutral,"그거는 얘기 좀 많았어. 
"
neutral,"그게 이렇게 하루 이틀 동안 아빠만 육아를 하는 식으로 해가지고 설정을 해놓고 하는 거잖아. 
"
neutral,"그니까 나오는 모습은 아빠가 육아를 엄청 잘하는 모습이어도 거의 평상시 촬영이 없는 날은 어떻게 할지 모른다는 거지. 
"
neutral,"엄마가 볼 수도 있고 이모님이 보실 수도 있고.
"
neutral,"근 근데 그거는 애들 반응 보면 어느 유추가 되지 않아?
"
neutral,"애들 반응을 안 내보낼 수도 있는 거야.
"
neutral,"그니까 이렇게 편집이 들어가잖아, 그게 말이 진짜 많았어.
"
neutral,"뭐 그럴 수도 있나?
"
neutral,"그래서 그 송 뭐지? b/
"
neutral,"아 그 사람 누구지? 
"
neutral,"그 대한, 민국, 만세 있는 그 집.
"
neutral,"송 송종국? 
"
neutral,"어 그 사람도 그렇게 케어를 많이 하잖아, 부인이 돈을 버니까 근데 그것도 애들 각자 시터가 있대.
"
neutral,"u/ 송일국이 많이 돌보기도 하지만 각자 교사가 따로 있대, 개인으로.
"
neutral,"평소에는 그렇다는 거지. 
"
neutral,"그래도 거기는 애들이 송일국도 많이 따르는데 그 막 이휘재네 집 있잖아.
"
neutral,"거기는 애기들이 너무 아빠를 대면 대면해 해가지고 어 얘기 많았어.
"
neutral,"아 맞아 그랬던 거 같애. 
"
neutral,"b/ 좀 그런 게 있는 거 같애.
"
neutral,"나 저 나 저번 주에 영광 갔다 왔잖아. 
"
neutral,"그 장윤정 딸 기억나? 
"
neutral,"어어 막내일걸? 
"
neutral,"어어 근데 자기가 봤을 때 걔가 말도 못 하고 그랬을 거야.
"
happy,"근데 저번 주에 가서 봤는데 막 말을 하는데 l/ 이모가 그거 보면서 아 소리랑 똑같이 생겼어 하면서 l/ 어 그 그 여자애 소리 어렸을 때랑 똑같이 생겼대. 
"
happy,"그러면서 코는 쟤가 더 납작해 그러는 거야. 
"
happy,"l/ 우리 이모가 말을 웃기게 하잖아.
"
happy,"l/ 그래가지고 웃겼어.
"
happy,"b/ 난 너랑 승훈이 어렸을 때가 상상이 안되는데? 
"
neutral,"응 많이 역변했지. 
"
happy,"아오 원래 이모 말로는 내가 좀 더 귀엽고 소리는 머리숱도 없고 못생겼는데 그래가지고 나만 데리고 다녔대 어딜 가든. l/
"
happy,"근데 이제 나보고 징그럽대. l/
"
neutral,"나는 좀 b/ 음 그래서 사진 보면은 옛날 얼굴이 많이 있다고 그러더라고 엄만. 
"
neutral,"응 자기 옛날 얼굴 많이 있더라, 엄마 그 프로필 사진 보니까. 
"
happy,"l/ 특히 부었을 때 자고 일어났을 때 응 그런 거 같애.
"
neutral,"난 똥차 하면은 족저 근막염 밖에 생각이 안 난다.
"
neutral,"니 꺼 얘기해 니 꺼.
"
neutral,"나는 별로 연애를 안 해가지고.
"
neutral,"그 와중에 있을 수 있지.
"
neutral,"c/ 니가 그랬던 거 아닐까 혹시?
"
neutral,"내가 똥차였던 거 같애. 
"
neutral,"나는 그러네 니가 나빴네.
"
neutral,"공부한다고 헤어지고. l/
"
neutral,"u/ 나는 족저근막염은 최근이어서 그랬던 거지.
"
neutral,"그 사람은 아예 똥은 아니었어.
"
neutral,"b/ 맞아 핸드폰도 사주고. 
"
neutral,"사준 건 아니지, 연결만 시켜줬지.
"
neutral,"아 미란이 연결시켜 준 거야? 
"
neutral,"응 b/ 그냥 난 막 똥차까지는 아니었고 음 b/ 물속에서 튜브 없이 헤맨 느낌이었지 l/ 좀.
"
neutral,"그래, 넌 뭐 있어?
"
neutral,"저번에 광주 가서 만났다는 홍빈이, 수의대 다닌다는 애.
"
neutral,"걔가 참 신기하게 여자를 만나거든?
"
neutral,"그 어플 중에 그 목소리만 듣고 얘기하는 어플이 있어. 
"
neutral,"아 그거 광고에서 본 거 같애.
"
neutral,"어 그래 갖고 걔가 홍빈이가 막 그 어플로 어떤 여자가 목소리로 얘기를 하다가 노래를 불렀나? 
"
happy,"막 그래가지고 여자애가 목소리가 마음에 든다 하고 한 번 만나보재.
"
neutral,"그래 여자애가 전준가? 
"
neutral,"막 거 전주 사람이었어, 걔는 광주에 있고.
"
happy,"어 근데 신기한 게 만나서 사귀는 거야.
"
neutral,"아 참 대단하다. 
"
neutral,"근데 얼마 못 가서 헤어졌어. 
"
happy,"어, l/ 그러는 거 같애.
"
neutral,"b/ 야 그거 엄청 도박이야.
"
neutral,"어 봐봐 너가 어떤 가수를 모르는데 노래를 들었다? b/
"
neutral,"도박이야? 
"
neutral,"근데 나는 좀 그런 게 많거든?
"
neutral,"c/ 그 가수가 어떻게 생긴지 몰라, 그럼 노래가 되게 좋다가 보면은 좀 깰 때 많거든? 
"
neutral,"그거 상상한 모습이 아니라고 해야 되나? 
"
neutral,"그니까 목소리가 잔상이 너무 커서 b/ 완전 도박인데 근데 사귈 정도였으면은 잘 걸렸었나 보다, 응.
"
neutral,"서로 마음에 들었나 봐, 어.
"
happy,"어 그랬, 참 신기하지? 
"
neutral,"응 참 안 신기한데 안 신기해 응 안 신기해.
"
neutral,"안 신기해? 
"
neutral,"난 되게 신기했는데.
"
neutral,"이 내 친구가 이런 어플을 썼다는 것부터 신기했고 이걸 한.
"
neutral,"나도 나도 족저근막염 어플로 만났는데? 
"
neutral,"소개받아서 만난 거 아니었어? 
"
neutral,"사람들한테 소개받았다고 뻥치고 친구가 알려준 어플로 만났어.
"
neutral,"어 그거 싹 지웠어.
"
angry,"왜냐면 너무너무 당한 느낌이어서.
"
neutral,"어플한테? 
"
neutral,"아니 너무 속였잖아.
"
neutral,"아 그 남자가? 
"
neutral,"맞아, 그 속이는 거는 문제가 되지. n/
"
angry,"사진도 막 7년 전 사진을 올려 놓으면 어떡해.
"
neutral,"키도 키, 키도 왜 5센치나 올려.
"
neutral,"그렇잖아 그래서 왜 족저근막염도 안 써놓고.
"
neutral,"응 뭐 우리 실습 장소 정하는 거랑 비슷하네. 
"
neutral,"어 왜 미리 조건을 말 안 해주고 이제 와서 조건을 얘기하냐.
"
neutral,"음 근데 b/ 아이 몰라.
"
neutral,"그 사기당했다는 느낌이 들면 호감이 가다가도 툭 떨어지는 거 같애.
"
neutral,"어플이니까 어쩔 수 없지.
"
neutral,"약간 사기당한 느낌이 들었어도 이건 감수해야 되는거지 했던 거 같애.
"
neutral,"현무 넌 여자애가 나쁘게 한 적은 없어? 
"
neutral,"u/ 나 그렇게 깊은 관계까진 가진 않았던 것 같애.
"
neutral,"상대방은 깊었을 수 있어. 
"
neutral,"u/ 못 느꼈을 뿐이지 않을까? 
"
neutral,"아니야, 어 아니야.
"
neutral,"그런가, 아니 근데 너가 좀 둔하잖아.
"
neutral,"어 내가 둔하긴 한데 그렇진 않았던 거 같애.
"
neutral,"그리고 그 나는 가장 힘든 게 그거 같애.
"
